fips,year,laborfc,employed,unemplvl,unemprate
17203,2015,19570,18583,987,5
18001,2015,16898,16252,646,3.8
18003,2015,178014,169803,8211,4.6
18005,2015,43578,41999,1579,3.6
18007,2015,4577,4372,205,4.5
18009,2015,5243,4926,317,6
18011,2015,33491,32253,1238,3.7
18013,2015,7443,7086,357,4.8
18015,2015,10021,9586,435,4.3
18017,2015,17759,16941,818,4.6
18019,2015,58780,56127,2653,4.5
18021,2015,12367,11711,656,5.3
18023,2015,16918,16236,682,4
18025,2015,4915,4617,298,6.1
18027,2015,15694,15099,595,3.8
18029,2015,25213,23917,1296,5.1
18031,2015,14291,13709,582,4.1
18033,2015,21782,20884,898,4.1
18035,2015,54440,51332,3108,5.7
18037,2015,22673,21903,770,3.4
18039,2015,104707,100631,4076,3.9
18041,2015,8989,8398,591,6.6
18043,2015,39858,38143,1715,4.3
18045,2015,8042,7563,479,6
18047,2015,11387,10808,579,5.1
18049,2015,9861,9388,473,4.8
18051,2015,18859,18141,718,3.8
18053,2015,32523,30756,1767,5.4
18055,2015,13754,12807,947,6.9
18057,2015,167222,161556,5666,3.4
18059,2015,37368,35787,1581,4.2
18061,2015,19380,18489,891,4.6
18063,2015,82855,79677,3178,3.8
18065,2015,21664,20509,1155,5.3
18067,2015,36986,35136,1850,5
18069,2015,18639,17822,817,4.4
18071,2015,21784,20915,869,4
18073,2015,16360,15406,954,5.8
18075,2015,9946,9448,498,5
18077,2015,15325,14581,744,4.9
18079,2015,13167,12490,677,5.1
18081,2015,77582,74412,3170,4.1
18083,2015,19026,18152,874,4.6
18085,2015,40660,39003,1657,4.1
18087,2015,18900,18207,693,3.7
18089,2015,229721,214026,15695,6.8
18091,2015,48520,45471,3049,6.3
18093,2015,20277,18946,1331,6.6
18095,2015,58221,54909,3312,5.7
18097,2015,472330,448309,24021,5.1
18099,2015,24007,23003,1004,4.2
18101,2015,5047,4834,213,4.2
18103,2015,15750,14929,821,5.2
18105,2015,67368,64048,3320,4.9
18107,2015,19265,18494,771,4
18109,2015,35367,33698,1669,4.7
18111,2015,6961,6556,405,5.8
18113,2015,23650,22639,1011,4.3
18115,2015,3178,3002,176,5.5
18117,2015,8726,8204,522,6
18119,2015,9285,8699,586,6.3
